C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000002,000000 ,000000 ,000002 ,000002,000000 ,000000 ,000000 ,000002 ,000012,000396 
S2  ,000001,000000 ,000000 ,000001 ,000014,000000 ,000000 ,000000 ,000014 ,000023,000707 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000001,000000 ,000000 ,000001 ,000010,000000 ,000000 ,000000 ,000010 ,000021,000655 
W4  ,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000029,000909 
S3ON,000004,000000 ,000001-,000003 ,000006,000000 ,000001-,000001-,000004 ,000019,000598 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000063,000000 ,000002-,000061 ,000005,000000 ,000002-,000003-,000000 ,000027,000811 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000005,000000 ,000000 ,000005 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000002 
INCH,000002,000000 ,000001-,000001 ,000011,000000 ,000001-,000001-,000009 ,000013,000685 
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000139 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000004,000244 
LDRB,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000007,000248 
LDRC,000005,000000 ,000000 ,000005 ,000003,000000 ,000000 ,000000 ,000003 ,000009,000253 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000001-,000001-,000002,000000 ,000001-,000001-,000000 ,000014,000378 
NICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000023,000635 
NCCN,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000012,000352 
APTU,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000027,000808 
S64 ,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000025,000812 
NURA,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000003,000222 
NURD,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000012,000245 
OBHD,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000009 
NURB,000005,000000 ,000000 ,000005 ,000001,000000 ,000000 ,000000 ,000001 ,000001,000103 
NURC,000007,000000 ,000000 ,000007 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000045 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000002,000000 ,000001-,000001 ,000002,000000 ,000001-,000001-,000000 ,000025,000738 
M5  ,000004,000000 ,000000 ,000004 ,000008,000000 ,000000 ,000000 ,000008 ,000025,000791 
M6  ,000001,000000 ,000000 ,000001 ,000007,000000 ,000000 ,000000 ,000007 ,000032,000913 
M7  ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000001-,000007 ,000034,001005 
CARE,000006,000000 ,000000 ,000006 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000002 
D5A ,000004,000000 ,000001-,000003 ,000007,000000 ,000001-,000000 ,000006 ,000029,000954 
MICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000015,000424 
NIU ,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000009,000250 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,000279 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000002,000000 ,000000 ,000002 ,000003,000000 ,000000 ,000000 ,000003 ,000003,000153 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000023 
SW5 ,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000031,000913 
SW6 ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000025,000843 
SW7 ,000004,000000 ,000000 ,000004 ,000010,000000 ,000000 ,000000 ,000010 ,000025,000767 
D6B ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000036,001193 
D6A ,000000,000000 ,000001-,000001-,000006,000000 ,000001-,000000 ,000005 ,000034,001017 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000106 
TOTL,000134,000000 ,000008-,000126 ,000149,000000 ,000008-,000008-,000133 ,000623,019628 
