C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000003,000000 ,000000 ,000003 ,000008,000000 ,000000 ,000000 ,000008 ,000005,000074 
S2  ,000000,000000 ,000001-,000001-,000007,000000 ,000001-,000000 ,000006 ,000020,000151 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000000,000000 ,000001-,000001-,000005,000000 ,000001-,000001-,000003 ,000021,000154 
W4  ,000001,000000 ,000001-,000000 ,000007,000000 ,000001-,000000 ,000006 ,000029,000203 
S3ON,000002,000000 ,000001-,000001 ,000005,000000 ,000001-,000000 ,000004 ,000019,000142 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000074,000000 ,000003-,000071 ,000009,000000 ,000003-,000000 ,000006 ,000030,000161 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000009,000000 ,000000 ,000009 ,000001,000000 ,000000 ,000000 ,000001 ,000001,000008 
INCH,000001,000000 ,000001-,000000 ,000003,000000 ,000001-,000000 ,000002 ,000025,000159 
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000030 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000011,000060 
LDRB,000002,000000 ,000000 ,000002 ,000006,000000 ,000000 ,000000 ,000006 ,000010,000052 
LDRC,000009,000000 ,000000 ,000009 ,000002,000000 ,000000 ,000000 ,000002 ,000007,000061 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000011,000078 
NICU,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000001-,000000 ,000019,000127 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000059 
APTU,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000026,000182 
S64 ,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000026,000187 
NURA,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000010,000054 
NURD,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000007,000052 
OBHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
NURB,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000005,000029 
NURC,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000011 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000004,000000 ,000000 ,000004 ,000001,000000 ,000000 ,000000 ,000001 ,000027,000155 
M5  ,000003,000000 ,000000 ,000003 ,000008,000000 ,000000 ,000000 ,000008 ,000022,000161 
M6  ,000003,000000 ,000001-,000002 ,000006,000000 ,000001-,000000 ,000005 ,000032,000190 
M7  ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000033,000227 
CARE,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
