C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000002,000000 ,000001-,000001 ,000007,000000 ,000001-,000002-,000004 ,000013,000304 
S2  ,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000023,000551 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000000,000000 ,000002-,000002-,000004,000000 ,000002-,000002-,000000 ,000023,000504 
W4  ,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000031,000708 
S3ON,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000019,000468 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000072,000000 ,000002-,000070 ,000010,000000 ,000002-,000002-,000006 ,000033,000620 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000011,000000 ,000000 ,000011 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000000 
INCH,000005,000000 ,000003-,000002 ,000014,000000 ,000003-,000003-,000008 ,000029,000554 
PICU,000000,000000 ,000002-,000002-,000004,000000 ,000002-,000002-,000000 ,000004,000115 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000006,000195 
LDRB,000000,000000 ,000001-,000001-,000006,000000 ,000001-,000001-,000004 ,000007,000190 
LDRC,000004,000000 ,000001-,000003 ,000002,000000 ,000001-,000001-,000000 ,000007,000201 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000018,000296 
NICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000023,000488 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000013,000251 
APTU,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000026,000623 
S64 ,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000028,000635 
NURA,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000006,000174 
NURD,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000013,000198 
OBHD,000005,000000 ,000000 ,000005 ,000001,000000 ,000000 ,000000 ,000001 ,000001,000007 
NURB,000001,000000 ,000000 ,000001 ,000005,000000 ,000000 ,000000 ,000005 ,000001,000081 
NURC,000012,000000 ,000000 ,000012 ,000000,000000 ,000000 ,000000 ,000000 ,000002,000037 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000003,000000 ,000000 ,000003 ,000001,000000 ,000000 ,000000 ,000001 ,000025,000579 
M5  ,000005,000000 ,000000 ,000005 ,000008,000000 ,000000 ,000000 ,000008 ,000028,000606 
M6  ,000002,000000 ,000000 ,000002 ,000011,000000 ,000000 ,000000 ,000011 ,000031,000699 
M7  ,000001,000000 ,000000 ,000001 ,000011,000000 ,000000 ,000000 ,000011 ,000031,000778 
CARE,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
D5A ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000001-,000007 ,000032,000735 
MICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000015,000326 
NIU ,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000190 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000213 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000006,000106 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000013,000000 ,000000 ,000013 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000015 
SW5 ,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000031,000699 
SW6 ,000000,000000 ,000001-,000001-,000009,000000 ,000001-,000001-,000007 ,000026,000661 
SW7 ,000006,000000 ,000000 ,000006 ,000012,000000 ,000000 ,000000 ,000012 ,000026,000583 
D6B ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000033,000922 
D6A ,000000,000000 ,000001-,000001-,000013,000000 ,000001-,000001-,000011 ,000034,000785 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000083 
TOTL,000158,000000 ,000014-,000144 ,000179,000000 ,000014-,000016-,000149 ,000666,015182 
