C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000002,000000 ,000006-,000004-,000013,000000 ,000006-,000006-,000001 ,000012,000384 
S2  ,000000,000000 ,000005-,000005-,000008,000000 ,000005-,000005-,000002-,000025,000681 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000021,000633 
W4  ,000000,000000 ,000003-,000003-,000006,000000 ,000003-,000003-,000000 ,000029,000880 
S3ON,000004,000000 ,000000 ,000004 ,000003,000000 ,000000 ,000000 ,000003 ,000018,000581 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000058,000000 ,000007-,000051 ,000009,000000 ,000007-,000005-,000003-,000028,000787 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000012,000000 ,000000 ,000012 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000002 
INCH,000003,000000 ,000004-,000001-,000011,000000 ,000004-,000004-,000003 ,000016,000667 
PICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000004,000135 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000006,000240 
LDRB,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000241 
LDRC,000004,000000 ,000001-,000003 ,000004,000000 ,000001-,000002-,000001 ,000007,000244 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000011,000367 
NICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000018,000612 
NCCN,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000001-,000001 ,000013,000340 
APTU,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000027,000781 
S64 ,000001,000000 ,000001-,000000 ,000009,000000 ,000001-,000001-,000007 ,000023,000787 
NURA,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000006,000219 
NURD,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000233 
OBHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000009 
NURB,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000002,000102 
NURC,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000042 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000024,000714 
M5  ,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000026,000766 
M6  ,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000032,000881 
M7  ,000001,000000 ,000001-,000000 ,000004,000000 ,000001-,000001-,000002 ,000033,000971 
CARE,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
D5A ,000000,000000 ,000003-,000003-,000010,000000 ,000003-,000002-,000005 ,000032,000920 
MICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000016,000409 
NIU ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000241 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000010,000272 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000004,000000 ,000001-,000003 ,000004,000000 ,000001-,000001-,000002 ,000004,000148 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000002,000022 
SW5 ,000000,000000 ,000000 ,000000 ,000010,000000 ,000000 ,000000 ,000010 ,000028,000882 
SW6 ,000001,000000 ,000002-,000001-,000012,000000 ,000002-,000002-,000008 ,000028,000818 
SW7 ,000007,000000 ,000001-,000006 ,000008,000000 ,000001-,000001-,000006 ,000028,000742 
D6B ,000002,000000 ,000000 ,000002 ,000006,000000 ,000000 ,000000 ,000006 ,000040,001157 
D6A ,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000034,000984 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000102 
TOTL,000131,000000 ,000035-,000096 ,000150,000000 ,000035-,000034-,000081 ,000630,018998 
