C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000001,000000 ,000001-,000000 ,000005,000000 ,000001-,000001-,000003 ,000010,000019 
S2  ,000000,000000 ,000001-,000001-,000012,000000 ,000001-,000001-,000010 ,000023,000044 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000003,000000 ,000001-,000002 ,000006,000000 ,000001-,000001-,000004 ,000023,000044 
W4  ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000026,000055 
S3ON,000004,000000 ,000001-,000003 ,000003,000000 ,000001-,000000 ,000002 ,000018,000043 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000081,000000 ,000001-,000080 ,000001,000000 ,000001-,000000 ,000000 ,000043,000067 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000002 
INCH,000004,000000 ,000004-,000000 ,000017,000000 ,000004-,000004-,000009 ,000025,000049 
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000005,000011 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000006,000016 
LDRB,000001,000000 ,000002-,000001-,000002,000000 ,000002-,000002-,000002-,000010,000011 
LDRC,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000017 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000010,000019 
NICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000017,000034 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000018 
APTU,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000026,000052 
S64 ,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000026,000056 
NURA,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000006,000016 
NURD,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000014 
OBHD,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NURB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,000011 
NURC,000007,000000 ,000000 ,000007 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000003 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000004,000000 ,000000 ,000004 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000002,000000 ,000000 ,000002 ,000001,000000 ,000000 ,000000 ,000001 ,000023,000041 
M5  ,000004,000000 ,000000 ,000004 ,000007,000000 ,000000 ,000000 ,000007 ,000022,000046 
M6  ,000002,000000 ,000001-,000001 ,000012,000000 ,000001-,000001-,000010 ,000023,000049 
M7  ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000029,000063 
CARE,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D5A ,000006,000000 ,000003-,000003 ,000007,000000 ,000003-,000003-,000001 ,000033,000066 
MICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000013,000027 
NIU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000015 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000010,000018 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000000,000000 ,000001-,000001-,000002,000000 ,000001-,000000 ,000001 ,000004,000009 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000004 
SW5 ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000029,000055 
SW6 ,000002,000000 ,000002-,000000 ,000007,000000 ,000002-,000002-,000003 ,000028,000051 
SW7 ,000009,000000 ,000001-,000008 ,000013,000000 ,000001-,000001-,000011 ,000022,000045 
D6B ,000003,000000 ,000001-,000002 ,000002,000000 ,000001-,000001-,000000 ,000036,000074 
D6A ,000001,000000 ,000001-,000000 ,000005,000000 ,000001-,000000 ,000004 ,000033,000063 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000007 
TOTL,000155,000000 ,000021-,000134 ,000145,000000 ,000021-,000017-,000107 ,000625,001235 
