M6  ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000028,01-01-2019
M7  ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000034,01-01-2019
CARE,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,01-01-2019
D5A ,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000027,01-01-2019
MICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000014,01-01-2019
NIU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,01-01-2019
SICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000008,01-01-2019
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,01-01-2019
D3B ,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000004,01-01-2019
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,01-01-2019
ESHP,000011,000000 ,000000 ,000011 ,000000,000000 ,000000 ,000000 ,000000 ,000003,01-01-2019
SW5 ,000001,000000 ,000000 ,000001 ,000007,000000 ,000000 ,000000 ,000007 ,000026,01-01-2019
SW6 ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000025,01-01-2019
SW7 ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000019,01-01-2019
D6B ,000002,000000 ,000000 ,000002 ,000002,000000 ,000000 ,000000 ,000002 ,000036,01-01-2019
D6A ,000001,000000 ,000000 ,000001 ,000007,000000 ,000000 ,000000 ,000007 ,000032,01-01-2019
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,01-01-2019
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000003,01-01-2019
TOTL,000122,000000 ,000000 ,000122 ,000084,000000 ,000000 ,000000 ,000084 ,000598,01-01-2019
C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
S1  ,000001,000000 ,000001-,000000 ,000005,000000 ,000001-,000001-,000003 ,000010,02-01-2019
S2  ,000000,000000 ,000001-,000001-,000012,000000 ,000001-,000001-,000010 ,000023,02-01-2019
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
W3  ,000003,000000 ,000001-,000002 ,000006,000000 ,000001-,000001-,000004 ,000023,02-01-2019
W4  ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000026,02-01-2019
S3ON,000004,000000 ,000001-,000003 ,000003,000000 ,000001-,000000 ,000002 ,000018,02-01-2019
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ESHD,000081,000000 ,000001-,000080 ,000001,000000 ,000001-,000000 ,000000 ,000043,02-01-2019
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
PAHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000001,02-01-2019
INCH,000004,000000 ,000004-,000000 ,000017,000000 ,000004-,000004-,000009 ,000025,02-01-2019
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000005,02-01-2019
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
LDRA,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000006,02-01-2019
LDRB,000001,000000 ,000002-,000001-,000002,000000 ,000002-,000002-,000002-,000010,02-01-2019
LDRC,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000008,02-01-2019
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
WIN2,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000010,02-01-2019
NICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000017,02-01-2019
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000009,02-01-2019
APTU,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000026,02-01-2019
S64 ,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000026,02-01-2019
NURA,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000006,02-01-2019
NURD,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,02-01-2019
OBHD,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
NURB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,02-01-2019
NURC,000007,000000 ,000000 ,000007 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
CHST,000004,000000 ,000000 ,000004 ,000001,000000 ,000000 ,000000 ,000001 ,000000,02-01-2019
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
HVCC,000002,000000 ,000000 ,000002 ,000001,000000 ,000000 ,000000 ,000001 ,000023,02-01-2019
M5  ,000004,000000 ,000000 ,000004 ,000007,000000 ,000000 ,000000 ,000007 ,000022,02-01-2019
M6  ,000002,000000 ,000001-,000001 ,000012,000000 ,000001-,000001-,000010 ,000023,02-01-2019
M7  ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000029,02-01-2019
CARE,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
D5A ,000006,000000 ,000003-,000003 ,000007,000000 ,000003-,000003-,000001 ,000033,02-01-2019
MICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000013,02-01-2019
NIU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000008,02-01-2019
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000010,02-01-2019
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
D3B ,000000,000000 ,000001-,000001-,000002,000000 ,000001-,000000 ,000001 ,000004,02-01-2019
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
ESHP,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000001,02-01-2019
SW5 ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000029,02-01-2019
SW6 ,000002,000000 ,000002-,000000 ,000007,000000 ,000002-,000002-,000003 ,000028,02-01-2019
SW7 ,000009,000000 ,000001-,000008 ,000013,000000 ,000001-,000001-,000011 ,000022,02-01-2019
D6B ,000003,000000 ,000001-,000002 ,000002,000000 ,000001-,000001-,000000 ,000036,02-01-2019
D6A ,000001,000000 ,000001-,000000 ,000005,000000 ,000001-,000000 ,000004 ,000033,02-01-2019
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,02-01-2019
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,02-01-2019
TOTL,000155,000000 ,000021-,000134 ,000145,000000 ,000021-,000017-,000107 ,000625,02-01-2019
C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
S1  ,000002,000000 ,000000 ,000002 ,000002,000000 ,000000 ,000000 ,000002 ,000012,03-01-2019
S2  ,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000022,03-01-2019
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
W3  ,000001,000000 ,000000 ,000001 ,000007,000000 ,000000 ,000000 ,000007 ,000021,03-01-2019
W4  ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000031,03-01-2019
S3ON,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000020,03-01-2019
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
ESHD,000081,000000 ,000000 ,000081 ,000002,000000 ,000000 ,000000 ,000002 ,000031,03-01-2019
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
PAHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000001,03-01-2019
INCH,000002,000000 ,000002-,000000 ,000013,000000 ,000002-,000001-,000010 ,000029,03-01-2019
PICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000003,03-01-2019
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,03-01-2019
