C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000000,000000 ,000002-,000002-,000003,000000 ,000002-,000002-,000001-,000014,000055 
S2  ,000002,000000 ,000003-,000001-,000008,000000 ,000003-,000003-,000002 ,000022,000110 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000002,000000 ,000001-,000001 ,000005,000000 ,000001-,000001-,000003 ,000023,000112 
W4  ,000000,000000 ,000002-,000002-,000007,000000 ,000002-,000002-,000003 ,000030,000144 
S3ON,000002,000000 ,000002-,000000 ,000007,000000 ,000002-,000001-,000004 ,000017,000105 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000059,000000 ,000002-,000057 ,000004,000000 ,000002-,000002-,000000 ,000013,000118 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000005 
INCH,000000,000000 ,000006-,000006-,000014,000000 ,000006-,000006-,000002 ,000021,000115 
PICU,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000003,000021 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000009,000041 
LDRB,000000,000000 ,000001-,000001-,000001,000000 ,000001-,000001-,000001-,000010,000032 
LDRC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000047 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000015,000056 
NICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000019,000089 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000045 
APTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000026,000130 
S64 ,000001,000000 ,000002-,000001-,000004,000000 ,000002-,000002-,000000 ,000026,000135 
NURA,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000007,000037 
NURD,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000009,000035 
OBHD,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
NURB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000018 
NURC,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000009 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000019,000106 
M5  ,000001,000000 ,000005-,000004-,000010,000000 ,000005-,000005-,000000 ,000029,000115 
M6  ,000001,000000 ,000002-,000001-,000008,000000 ,000002-,000002-,000004 ,000029,000129 
M7  ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000032,000160 
CARE,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D5A ,000001,000000 ,000001-,000000 ,000008,000000 ,000001-,000001-,000006 ,000033,000161 
MICU,000004,000000 ,000000 ,000004 ,000001,000000 ,000000 ,000000 ,000001 ,000014,000068 
NIU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,000039 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000045 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000004,000022 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000007 
SW5 ,000000,000000 ,000001-,000001-,000003,000000 ,000001-,000001-,000001 ,000029,000138 
SW6 ,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000026,000132 
SW7 ,000000,000000 ,000000 ,000000 ,000011,000000 ,000000 ,000000 ,000011 ,000025,000126 
D6B ,000001,000000 ,000001-,000000 ,000005,000000 ,000001-,000001-,000003 ,000039,000187 
D6A ,000001,000000 ,000000 ,000001 ,000006,000000 ,000000 ,000000 ,000006 ,000034,000158 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000019 
TOTL,000096,000000 ,000031-,000065 ,000122,000000 ,000031-,000030-,000061 ,000623,003073 
