C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000004,000000 ,000001-,000003 ,000006,000000 ,000001-,000001-,000004 ,000018,000191 
S2  ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000023,000366 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000023,000336 
W4  ,000000,000000 ,000000 ,000000 ,000007,000000 ,000000 ,000000 ,000007 ,000031,000472 
S3ON,000001,000000 ,000001-,000000 ,000006,000000 ,000001-,000001-,000004 ,000019,000318 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000086,000000 ,000008-,000078 ,000012,000000 ,000008-,000005-,000001-,000022,000402 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000015,000000 ,000001-,000014 ,000001,000000 ,000001-,000001-,000001-,000000,000001-
INCH,000003,000000 ,000006-,000003-,000017,000000 ,000006-,000004-,000007 ,000029,000370 
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000007,000077 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000011,000132 
LDRB,000001,000000 ,000004-,000003-,000009,000000 ,000004-,000004-,000001 ,000006,000123 
LDRC,000007,000001-,000002-,000004 ,000004,000001-,000002-,000002-,000001-,000007,000134 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000001-,000001-,000004,000000 ,000001-,000001-,000002 ,000013,000195 
NICU,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000001-,000001 ,000022,000305 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000012,000158 
APTU,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000026,000415 
S64 ,000001,000000 ,000001-,000000 ,000009,000000 ,000001-,000001-,000007 ,000027,000426 
NURA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000118 
NURD,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000129 
OBHD,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000004 
NURB,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000003,000060 
NURC,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000024 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000001,000000 ,000001-,000000 ,000001,000000 ,000001-,000000 ,000000 ,000000,000000 
CHST,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000003,000000 ,000000 ,000003 ,000004,000000 ,000000 ,000000 ,000004 ,000022,000385 
M5  ,000002,000000 ,000000 ,000002 ,000010,000000 ,000000 ,000000 ,000010 ,000021,000382 
M6  ,000000,000000 ,000001-,000001-,000009,000000 ,000001-,000000 ,000008 ,000027,000458 
M7  ,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000034,000524 
CARE,000003,000000 ,000001-,000002 ,000001,000000 ,000001-,000001-,000001-,000000,000002 
D5A ,000000,000000 ,000000 ,000000 ,000009,000000 ,000000 ,000000 ,000009 ,000026,000496 
MICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000014,000216 
NIU ,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000124 
SICU,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000011,000142 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000003,000000 ,000001-,000002 ,000002,000000 ,000001-,000001-,000000 ,000001,000075 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000013,000000 ,000001-,000012 ,000001,000000 ,000001-,000001-,000001-,000003,000010 
SW5 ,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000031,000464 
SW6 ,000002,000000 ,000002-,000000 ,000013,000000 ,000002-,000002-,000009 ,000027,000446 
SW7 ,000008,000000 ,000000 ,000008 ,000008,000000 ,000000 ,000000 ,000008 ,000025,000394 
D6B ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000038,000617 
D6A ,000001,000000 ,000000 ,000001 ,000009,000000 ,000000 ,000000 ,000009 ,000032,000523 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000057 
TOTL,000175,000001-,000032-,000142 ,000185,000001-,000032-,000026-,000126 ,000640,010070 
