D5A ,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000026,000572 
MICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000014,000253 
NIU ,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000008,000148 
SICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000009,000172 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000081 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000006,000000 ,000000 ,000006 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000015 
SW5 ,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000030,000552 
SW6 ,000001,000000 ,000000 ,000001 ,000011,000000 ,000000 ,000000 ,000011 ,000026,000525 
SW7 ,000000,000000 ,000000 ,000000 ,000011,000000 ,000000 ,000000 ,000011 ,000023,000469 
D6B ,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000040,000736 
D6A ,000002,000000 ,000000 ,000002 ,000007,000000 ,000000 ,000000 ,000007 ,000035,000611 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000002,000064 
TOTL,000116,000000 ,000002-,000114 ,000163,000000 ,000002-,000002-,000159 ,000600,011958 
