C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000003,000000 ,000004-,000001-,000009,000000 ,000004-,000003-,000002 ,000014,000293 
S2  ,000001,000000 ,000000 ,000001 ,000006,000000 ,000000 ,000000 ,000006 ,000022,000528 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000024,000484 
W4  ,000000,000000 ,000001-,000001-,000006,000000 ,000001-,000001-,000004 ,000032,000677 
S3ON,000003,000000 ,000000 ,000003 ,000002,000000 ,000000 ,000000 ,000002 ,000020,000449 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000065,000000 ,000004-,000061 ,000006,000000 ,000004-,000002-,000000 ,000027,000584 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000012,000000 ,000001-,000011 ,000001,000000 ,000001-,000001-,000001-,000000,000001-
INCH,000001,000000 ,000011-,000010-,000022,000000 ,000011-,000008-,000003 ,000024,000523 
PICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000006,000113 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000010,000189 
LDRB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000011,000184 
LDRC,000006,000000 ,000000 ,000006 ,000001,000000 ,000000 ,000000 ,000001 ,000015,000196 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000012,000278 
NICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000022,000465 
NCCN,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000012,000238 
APTU,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000026,000597 
S64 ,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000028,000607 
NURA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000009,000168 
NURD,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000009,000185 
OBHD,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000005 
NURB,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000005,000080 
NURC,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000035 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000023,000555 
M5  ,000001,000000 ,000001-,000000 ,000009,000000 ,000001-,000001-,000007 ,000029,000578 
M6  ,000002,000000 ,000000 ,000002 ,000010,000000 ,000000 ,000000 ,000010 ,000029,000667 
M7  ,000000,000000 ,000000 ,000000 ,000010,000000 ,000000 ,000000 ,000010 ,000031,000747 
CARE,000005,000000 ,000001-,000004 ,000001,000000 ,000001-,000001-,000001-,000000,000001 
D5A ,000001,000000 ,000000 ,000001 ,000009,000000 ,000000 ,000000 ,000009 ,000029,000703 
MICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000015,000311 
NIU ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000009,000181 
SICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000205 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000002,000000 ,000000 ,000002 ,000003,000000 ,000000 ,000000 ,000003 ,000003,000098 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000014 
SW5 ,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000030,000668 
SW6 ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000028,000637 
SW7 ,000007,000000 ,000001-,000006 ,000006,000000 ,000001-,000001-,000004 ,000028,000557 
D6B ,000003,000000 ,000000 ,000003 ,000005,000000 ,000000 ,000000 ,000005 ,000037,000890 
D6A ,000002,000000 ,000000 ,000002 ,000007,000000 ,000000 ,000000 ,000007 ,000036,000752 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000079 
TOTL,000149,000000 ,000024-,000125 ,000144,000000 ,000024-,000018-,000102 ,000671,014521 
