C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000005,000000 ,000000 ,000005 ,000005,000000 ,000000 ,000000 ,000005 ,000017,000366 
S2  ,000001,000000 ,000000 ,000001 ,000006,000000 ,000000 ,000000 ,000006 ,000024,000642 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000022,000589 
W4  ,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000030,000826 
S3ON,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000018,000538 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000070,000000 ,000004-,000066 ,000007,000000 ,000004-,000003-,000000 ,000033,000726 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000010,000000 ,000000 ,000010 ,000001,000000 ,000000 ,000000 ,000001 ,000000,000002 
INCH,000003,000000 ,000003-,000000 ,000014,000000 ,000003-,000003-,000008 ,000013,000639 
PICU,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000005,000127 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000227 
LDRB,000001,000000 ,000000 ,000001 ,000005,000000 ,000000 ,000000 ,000005 ,000008,000225 
LDRC,000003,000000 ,000001-,000002 ,000001,000000 ,000001-,000000 ,000000 ,000009,000227 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000006,000336 
NICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000019,000576 
NCCN,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000018,000314 
APTU,000001,000000 ,000000 ,000001 ,000004,000000 ,000000 ,000000 ,000004 ,000026,000727 
S64 ,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000026,000740 
NURA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000206 
NURD,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000002,000220 
OBHD,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000009 
NURB,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000003,000097 
NURC,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000040 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000025,000669 
M5  ,000003,000000 ,000000 ,000003 ,000002,000000 ,000000 ,000000 ,000002 ,000027,000717 
M6  ,000002,000000 ,000000 ,000002 ,000007,000000 ,000000 ,000000 ,000007 ,000030,000816 
M7  ,000000,000000 ,000001-,000001-,000009,000000 ,000001-,000001-,000007 ,000033,000907 
CARE,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
