C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000003,000000 ,000001-,000002 ,000009,000000 ,000001-,000001-,000007 ,000017,000208 
S2  ,000001,000000 ,000001-,000000 ,000006,000000 ,000001-,000001-,000004 ,000024,000389 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000002,000000 ,000000 ,000002 ,000003,000000 ,000000 ,000000 ,000003 ,000023,000359 
W4  ,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000001-,000005 ,000029,000501 
S3ON,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000019,000337 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000075,000000 ,000005-,000070 ,000008,000000 ,000005-,000001-,000002 ,000036,000439 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000000 
INCH,000003,000000 ,000004-,000001-,000016,000000 ,000004-,000001-,000011 ,000027,000396 
PICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000006,000083 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000009,000141 
LDRB,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000007,000130 
LDRC,000005,000000 ,000002-,000003 ,000002,000000 ,000002-,000002-,000002-,000006,000138 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000013,000208 
NICU,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000001-,000002 ,000022,000327 
NCCN,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000013,000171 
APTU,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000026,000441 
S64 ,000000,000000 ,000001-,000001-,000006,000000 ,000001-,000000 ,000005 ,000028,000453 
NURA,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000007,000125 
NURD,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000009,000138 
OBHD,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000004 
NURB,000001,000000 ,000000 ,000001 ,000002,000000 ,000000 ,000000 ,000002 ,000003,000063 
NURC,000012,000000 ,000000 ,000012 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000025 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000026,000411 
M5  ,000003,000000 ,000000 ,000003 ,000005,000000 ,000000 ,000000 ,000005 ,000024,000406 
M6  ,000003,000000 ,000000 ,000003 ,000005,000000 ,000000 ,000000 ,000005 ,000029,000488 
M7  ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000034,000558 
CARE,000005,000000 ,000001-,000004 ,000002,000000 ,000001-,000000 ,000001 ,000000,000003 
D5A ,000002,000000 ,000001-,000001 ,000008,000000 ,000001-,000001-,000006 ,000024,000519 
MICU,000002,000000 ,000000 ,000002 ,000003,000000 ,000000 ,000000 ,000003 ,000012,000228 
NIU ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000132 
SICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000010,000152 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000001,000077 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000007,000000 ,000001-,000006 ,000002,000000 ,000001-,000000 ,000001 ,000000,000010 
SW5 ,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000029,000492 
SW6 ,000002,000000 ,000002-,000000 ,000014,000000 ,000002-,000000 ,000012 ,000023,000469 
SW7 ,000005,000000 ,000000 ,000005 ,000009,000000 ,000000 ,000000 ,000009 ,000024,000420 
D6B ,000002,000000 ,000000 ,000002 ,000006,000000 ,000000 ,000000 ,000006 ,000039,000656 
D6A ,000001,000000 ,000002-,000001-,000017,000000 ,000002-,000001-,000014 ,000026,000545 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000003,000060 
TOTL,000159,000000 ,000021-,000138 ,000171,000000 ,000021-,000010-,000140 ,000638,010703 
