C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000002,000000 ,000003-,000001-,000007,000000 ,000003-,000002-,000002 ,000014,000095 
S2  ,000002,000000 ,000002-,000000 ,000006,000000 ,000002-,000001-,000003 ,000025,000199 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000001,000000 ,000000 ,000001 ,000005,000000 ,000000 ,000000 ,000005 ,000024,000201 
W4  ,000001,000000 ,000000 ,000001 ,000006,000000 ,000000 ,000000 ,000006 ,000028,000260 
S3ON,000001,000000 ,000002-,000001-,000005,000000 ,000002-,000002-,000001 ,000019,000174 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000075,000000 ,000003-,000072 ,000004,000000 ,000003-,000002-,000001-,000050,000254 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000009,000000 ,000000 ,000009 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000010 
INCH,000003,000000 ,000002-,000001 ,000010,000000 ,000002-,000002-,000006 ,000027,000209 
PICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000004,000040 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000004,000068 
LDRB,000000,000000 ,000001-,000001-,000005,000000 ,000001-,000001-,000003 ,000007,000068 
LDRC,000004,000000 ,000003-,000001 ,000003,000000 ,000003-,000003-,000003-,000007,000070 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000015,000107 
NICU,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000021,000163 
NCCN,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000009,000080 
APTU,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000026,000234 
S64 ,000001,000000 ,000000 ,000001 ,000006,000000 ,000000 ,000000 ,000006 ,000028,000244 
NURA,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000004,000062 
NURD,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000007,000066 
OBHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
NURB,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000001,000034 
NURC,000008,000000 ,000000 ,000008 ,000000,000000 ,000000 ,000000 ,000000 ,000002,000015 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000004,000000 ,000000 ,000004 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000006,000000 ,000000 ,000006 ,000003,000000 ,000000 ,000000 ,000003 ,000029,000209 
M5  ,000005,000000 ,000001-,000004 ,000006,000000 ,000001-,000001-,000004 ,000025,000208 
M6  ,000002,000000 ,000000 ,000002 ,000009,000000 ,000000 ,000000 ,000009 ,000031,000256 
M7  ,000001,000000 ,000000 ,000001 ,000003,000000 ,000000 ,000000 ,000003 ,000033,000294 
CARE,000005,000000 ,000001-,000004 ,000002,000000 ,000001-,000000 ,000001 ,000000,000001 
D5A ,000006,000000 ,000000 ,000006 ,000003,000000 ,000000 ,000000 ,000003 ,000034,000277 
MICU,000001,000000 ,000000 ,000001 ,000001,000000 ,000000 ,000000 ,000001 ,000015,000121 
NIU ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000008,000071 
SICU,000002,000000 ,000000 ,000002 ,000000,000000 ,000000 ,000000 ,000000 ,000011,000085 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000002,000000 ,000001-,000001 ,000003,000000 ,000001-,000001-,000001 ,000004,000042 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000005,000000 ,000000 ,000005 ,000000,000000 ,000000 ,000000 ,000000 ,000002,000013 
SW5 ,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000031,000259 
SW6 ,000000,000000 ,000001-,000001-,000011,000000 ,000001-,000001-,000009 ,000027,000247 
SW7 ,000005,000000 ,000000 ,000005 ,000011,000000 ,000000 ,000000 ,000011 ,000028,000225 
D6B ,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000038,000345 
D6A ,000003,000000 ,000001-,000002 ,000011,000000 ,000001-,000001-,000009 ,000032,000286 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000033 
TOTL,000163,000000 ,000021-,000142 ,000147,000000 ,000021-,000017-,000109 ,000675,005627 
